Experiment,rev,typ,Created,parent,State,Executor,metrics/train_metrics.json:accuracy,metrics/train_metrics.json:precision,metrics/train_metrics.json:recall,metrics/train_metrics.json:f1_score,metrics/train_metrics.json:roc_auc,metrics/test_metrics.json:accuracy,metrics/test_metrics.json:precision,metrics/test_metrics.json:recall,metrics/test_metrics.json:f1_score,metrics/test_metrics.json:roc_auc,preprocess.test_size,preprocess.random_state,train.n_estimators,train.max_depth,train.min_samples_split,train.min_samples_leaf,train.max_features,train.random_state,evaluate.threshold,data/processed/test.csv,data/processed/train.csv,data/raw/application_train.csv,data/raw/home_credit_raw.csv,models/credit_model.pkl,src/data/load_data.py,src/data/preprocess.py,src/models/evaluate.py,src/models/train.py
efficient_deep,16c8dfd,branch_commit,2025-10-13T13:37:17,,Success,Dvc-task,0.9320794445709083,0.5464352029237526,0.9335347432024169,0.68936027812378,0.9745521574327152,0.8656000520299822,0.24303285069282266,0.3144008056394763,0.2741482262030207,0.7337452335794118,0.2,42,140,18,6,2,0.6,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,e5d6464bf70557b0ef4f6ea0085d765b,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
regularized_1,3f50143,branch_commit,2025-10-13T13:35:40,,Success,Dvc-task,0.7259601313778413,0.18446614825234214,0.6999496475327291,0.29198260833035766,0.789622686867574,0.7179324585792562,0.16671152500403724,0.6237663645518631,0.2631042392320109,0.7416593824891258,0.2,42,300,10,15,8,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,81bb55586b2a4c02b9babeb038dd3009,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
feature_limited,9374238,branch_commit,2025-10-13T13:34:17,,Success,Dvc-task,0.8566916523039901,0.3354215218832182,0.7899295065458207,0.4708919271810419,0.9183251620230483,0.8174723184234916,0.20745724698626297,0.4471299093655589,0.28341631558789737,0.7405849827778495,0.2,42,200,15,6,2,sqrt,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,5e5d68ca70ee0847a0575fb31364d939,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
pruned_forest,f2ac62d,branch_commit,2025-10-13T13:32:46,,Success,Dvc-task,0.9638385743553055,0.717833584995629,0.9096173212487412,0.8024252654022119,0.9892621172642052,0.8924605303806319,0.29372029021766327,0.2364551863041289,0.2619950903816113,0.7471234757063638,0.2,42,180,25,12,6,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,802fa8da01e7de837ee8395336c95da9,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
aggressive_controlled,d8b0857,branch_commit,2025-10-13T13:30:39,,Success,Dvc-task,0.9413108516796201,0.5897563236657396,0.8969284994964754,0.7116091403004154,0.977944709131029,0.8772417605645253,0.2580947033501778,0.2777442094662638,0.2675591773379899,0.7407805930914684,0.2,42,250,20,10,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,af9b7190f5cefcfc026124faf75b720c,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
conservative_stable,c2a7beb,branch_commit,2025-10-13T13:27:56,,Success,Dvc-task,0.6960545998504114,0.16602401138533773,0.6872608257804632,0.2674412908661618,0.7600034520522979,0.6944539290766304,0.15921526100458422,0.6505538771399798,0.25582132108347855,0.7374048706362486,0.2,42,100,8,6,4,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,107a8e4c2e698412fd027a06db973e4f,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
balanced_mid,f63f239,branch_commit,2025-10-13T13:26:32,,Success,Dvc-task,0.7682961529706351,0.21783787890298564,0.7219033232628399,0.33468339655675516,0.8327277620207931,0.7507438661528706,0.17776534228688678,0.5758308157099697,0.27166476624857466,0.7410283424061821,0.2,42,150,12,8,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,03e9b518aaaebe52eba91c145d50133e,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
sparse_features,a2f8f3f,branch_commit,2025-10-13T13:25:22,,Success,Dvc-task,0.9916913271113135,0.9072414738959496,0.9992447129909365,0.9510231465951023,0.9989891297112581,0.9099230931824464,0.3429819770617149,0.12648539778449144,0.1848145968216598,0.7383832428185881,0.2,42,220,25,6,2,0.3,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,262ec163fc6b201dd8d0c15369d92491,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
controlled_growth,9c75e1e,branch_commit,2025-10-13T13:23:31,,Success,Dvc-task,0.7274804071412312,0.18604774959410184,0.7039274924471299,0.2943095934822425,0.7922191230596417,0.7188104645301855,0.16690981790673798,0.6221550855991944,0.2632072256305385,0.7420366848957239,0.2,42,300,10,6,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,b4137a85eda73e28bbebc138fca69fb8,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
feature_est_balance,3e430af,branch_commit,2025-10-13T13:22:13,,Success,Dvc-task,0.9889068648174043,0.891315272511307,0.9823766364551864,0.9346331648662244,0.9981942004987028,0.9092076809261337,0.33404825737265414,0.12547834843907352,0.18243045387994142,0.7418195150552792,0.2,42,200,25,6,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,fbb5542b2381b3883240286b2bb764d4,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
